Fund Holdings as of,"28/Jul/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"AAPL","APPLE INC","Equity","4.34","144.98","481,366.00","69,788,442.68","69,788,442.68","Information Technology","US0378331005","NASDAQ","United States","USD"
"MSFT","MICROSOFT CORP","Equity","3.66","286.22","205,723.00","58,882,037.06","58,882,037.06","Information Technology","US5949181045","NASDAQ","United States","USD"
"AMZN","AMAZON COM INC","Equity","2.77","3,630.32","12,272.00","44,551,287.04","44,551,287.04","Consumer Discretionary","US0231351067","NASDAQ","United States","USD"
"FB","FACEBOOK CLASS A INC","Equity","1.60","373.28","68,936.00","25,732,430.08","25,732,430.08","Communication","US30303M1027","NASDAQ","United States","USD"
"GOOGL","ALPHABET INC CLASS A","Equity","1.46","2,721.88","8,619.00","23,459,883.72","23,459,883.72","Communication","US02079K3059","NASDAQ","United States","USD"
"GOOG","ALPHABET INC CLASS C","Equity","1.43","2,727.63","8,451.00","23,051,201.13","23,051,201.13","Communication","US02079K1079","NASDAQ","United States","USD"
"TSLA","TESLA INC","Equity","0.89","646.98","22,087.00","14,289,847.26","14,289,847.26","Consumer Discretionary","US88160R1014","NASDAQ","United States","USD"
"NVDA","NVIDIA CORP","Equity","0.86","195.03","70,644.00","13,777,699.32","13,777,699.32","Information Technology","US67066G1040","NASDAQ","United States","USD"
"JPM","JPMORGAN CHASE & CO","Equity","0.82","151.70","87,409.00","13,259,945.30","13,259,945.30","Financials","US46625H1005","New York Stock Exchange Inc.","United States","USD"
"JNJ","JOHNSON & JOHNSON","Equity","0.80","172.18","75,122.00","12,934,505.96","12,934,505.96","Health Care","US4781601046","New York Stock Exchange Inc.","United States","USD"
"V","VISA INC CLASS A","Equity","0.75","246.94","48,637.00","12,010,420.78","12,010,420.78","Information Technology","US92826C8394","New York Stock Exchange Inc.","United States","USD"
