Date,Value
"Dec 31, 1969",100.000
"Jan 30, 1970",94.249
"Feb 27, 1970",96.979
"Mar 31, 1970",97.075
"Apr 30, 1970",87.800
"May 29, 1970",82.060
"Jun 30, 1970",79.837
"Jul 31, 1970",84.585
"Aug 31, 1970",87.175
"Sep 30, 1970",89.788
"Oct 30, 1970",88.264
"Nov 30, 1970",90.035
"Dec 31, 1970",94.292
"Jan 29, 1971",98.420
"Feb 26, 1971",99.255
"Mar 31, 1971",103.407
"Apr 30, 1971",106.587
"May 31, 1971",103.859
"Jun 30, 1971",104.711
"Jul 30, 1971",102.836
"Aug 31, 1971",104.877
"Sep 30, 1971",103.676
"Oct 29, 1971",99.540
"Nov 30, 1971",100.176
"Dec 31, 1971",108.993
"Jan 31, 1972",112.774
"Feb 29, 1972",116.888
"Mar 31, 1972",118.297
"Apr 28, 1972",119.654
"May 31, 1972",121.882
"Jun 30, 1972",118.841
"Jul 31, 1972",120.466
"Aug 31, 1972",123.678
"Sep 29, 1972",121.590
"Oct 31, 1972",122.381
"Nov 30, 1972",128.591
"Dec 29, 1972",130.737
"Jan 31, 1973",130.825
"Feb 28, 1973",131.515
"Mar 30, 1973",131.476
"Apr 30, 1973",124.631
"May 31, 1973",124.046
"Jun 29, 1973",124.611
"Jul 31, 1973",127.351
"Aug 31, 1973",121.822
"Sep 28, 1973",125.110
"Oct 31, 1973",126.136
"Nov 30, 1973",109.548
"Dec 31, 1973",108.410
"Jan 31, 1974",109.006
"Feb 28, 1974",110.459
"Mar 29, 1974",107.416
"Apr 30, 1974",105.382
"May 31, 1974",100.892
"Jun 28, 1974",97.476
"Jul 31, 1974",91.462
"Aug 30, 1974",82.390
"Sep 30, 1974",74.454
"Oct 31, 1974",81.329
"Nov 29, 1974",79.808
"Dec 31, 1974",78.237
"Jan 31, 1975",89.398
"Feb 28, 1975",97.047
"Mar 31, 1975",97.510
"Apr 30, 1975",101.300
"May 30, 1975",103.447
"Jun 30, 1975",104.505
"Jul 31, 1975",98.483
"Aug 29, 1975",96.723
"Sep 30, 1975",92.428
"Oct 31, 1975",98.555
"Nov 28, 1975",101.013
"Dec 31, 1975",100.863
"Jan 30, 1976",109.636
"Feb 27, 1976",108.582
"Mar 31, 1976",109.621
"Apr 30, 1976",108.579
"May 31, 1976",106.525
"Jun 30, 1976",109.559
"Jul 30, 1976",108.288
"Aug 31, 1976",107.791
"Sep 30, 1976",108.443
"Oct 29, 1976",104.395
"Nov 30, 1976",103.725
"Dec 31, 1976",111.262
"Jan 31, 1977",107.261
"Feb 28, 1977",106.520
"Mar 31, 1977",105.581
"Apr 29, 1977",106.460
"May 31, 1977",104.734
"Jun 30, 1977",108.395
"Jul 29, 1977",106.659
"Aug 31, 1977",106.770
"Sep 30, 1977",107.812
"Oct 31, 1977",105.680
"Nov 30, 1977",106.709
"Dec 30, 1977",108.521
"Jan 31, 1978",105.020
"Feb 28, 1978",103.901
"Mar 31, 1978",108.282
"Apr 28, 1978",112.831
"May 31, 1978",113.929
"Jun 30, 1978",114.736
"Jul 31, 1978",122.678
"Aug 31, 1978",125.160
"Sep 29, 1978",126.266
"Oct 31, 1978",123.462
"Nov 30, 1978",118.757
"Dec 29, 1978",122.280
"Jan 31, 1979",125.060
"Feb 28, 1979",122.353
"Mar 30, 1979",127.068
"Apr 30, 1979",126.522
"May 31, 1979",123.964
"Jun 29, 1979",127.170
"Jul 31, 1979",127.746
"Aug 31, 1979",132.489
"Sep 28, 1979",135.076
"Oct 31, 1979",124.639
"Nov 30, 1979",128.077
"Dec 31, 1979",131.101
"Jan 31, 1980",138.591
"Feb 29, 1980",138.248
"Mar 31, 1980",122.959
"Apr 30, 1980",130.581
"May 30, 1980",136.573
"Jun 30, 1980",142.683
"Jul 31, 1980",146.628
"Aug 29, 1980",149.054
"Sep 30, 1980",153.086
"Oct 31, 1980",157.102
"Nov 28, 1980",163.233
"Dec 31, 1980",159.228
"Jan 30, 1981",154.155
"Feb 27, 1981",154.165
"Mar 31, 1981",159.204
"Apr 30, 1981",158.838
"May 29, 1981",155.298
"Jun 30, 1981",154.584
"Jul 31, 1981",151.506
"Aug 31, 1981",148.096
"Sep 30, 1981",136.528
"Oct 30, 1981",140.274
"Nov 30, 1981",150.253
"Dec 31, 1981",146.620
"Jan 29, 1982",144.023
"Feb 26, 1982",134.865
"Mar 31, 1982",130.746
"Apr 30, 1982",136.721
"May 31, 1982",132.831
"Jun 30, 1982",126.395
"Jul 30, 1982",124.336
"Aug 31, 1982",132.927
"Sep 30, 1982",133.113
"Oct 29, 1982",141.829
"Nov 30, 1982",148.919
"Dec 31, 1982",155.156
"Jan 31, 1983",158.034
"Feb 28, 1983",160.914
"Mar 31, 1983",166.139
"Apr 29, 1983",177.561
"May 31, 1983",175.383
"Jun 30, 1983",180.452
"Jul 29, 1983",176.796
"Aug 31, 1983",177.312
"Sep 30, 1983",180.467
"Oct 31, 1983",177.908
"Nov 30, 1983",182.061
"Dec 30, 1983",183.952
"Jan 31, 1984",185.039
"Feb 29, 1984",181.537
"Mar 30, 1984",189.609
"Apr 30, 1984",188.450
"May 31, 1984",173.852
"Jun 29, 1984",174.884
"Jul 31, 1984",168.266
"Aug 31, 1984",184.682
"Sep 28, 1984",183.518
"Oct 31, 1984",185.009
"Nov 30, 1984",183.845
"Dec 31, 1984",187.205
"Jan 31, 1985",197.057
"Feb 28, 1985",196.964
"Mar 29, 1985",203.303
"Apr 30, 1985",202.242
"May 31, 1985",212.126
"Jun 28, 1985",215.397
"Jul 31, 1985",219.314
"Aug 30, 1985",220.587
"Sep 30, 1985",221.702
"Oct 31, 1985",233.095
"Nov 29, 1985",245.573
"Dec 31, 1985",256.514
"Jan 31, 1986",259.748
"Feb 28, 1986",282.575
"Mar 31, 1986",309.601
"Apr 30, 1986",317.502
"May 30, 1986",315.983
"Jun 30, 1986",328.041
"Jul 31, 1986",330.052
"Aug 29, 1986",358.260
"Sep 30, 1986",343.351
"Oct 31, 1986",336.821
"Nov 28, 1986",350.458
"Dec 31, 1986",356.825
"Jan 30, 1987",398.106
"Feb 27, 1987",410.589
"Mar 31, 1987",435.354
"Apr 30, 1987",460.209
"May 29, 1987",460.177
"Jun 30, 1987",459.236
