Date,Value
"May 31, 2012",100.000
"Jun 29, 2012",104.967
"Jul 31, 2012",106.453
"Aug 31, 2012",109.218
"Sep 28, 2012",112.301
"Oct 31, 2012",111.325
"Nov 30, 2012",112.938
"Dec 31, 2012",115.101
"Jan 31, 2013",121.131
"Feb 28, 2013",121.553
"Mar 29, 2013",124.454
"Apr 30, 2013",128.355
"May 31, 2013",128.386
"Jun 28, 2013",125.434
"Jul 31, 2013",131.973
"Aug 30, 2013",129.254
"Sep 30, 2013",135.824
"Oct 31, 2013",141.154
"Nov 29, 2013",143.782
"Dec 31, 2013",146.847
"Jan 31, 2014",141.488
"Feb 28, 2014",148.660
"Mar 31, 2014",148.635
"Apr 30, 2014",150.048
"May 30, 2014",153.156
"Jun 30, 2014",155.727
"Jul 31, 2014",153.429
"Aug 29, 2014",156.888
"Sep 30, 2014",152.743
"Oct 31, 2014",153.865
"Nov 28, 2014",157.362
"Dec 31, 2014",154.755
"Jan 30, 2015",152.172
"Feb 27, 2015",161.409
"Mar 31, 2015",159.267
"Apr 30, 2015",162.723
"May 29, 2015",163.578
"Jun 30, 2015",159.979
"Jul 31, 2015",162.843
"Aug 31, 2015",152.072
"Sep 30, 2015",146.315
"Oct 30, 2015",157.912
"Nov 30, 2015",157.233
"Dec 31, 2015",154.628
"Jan 29, 2016",145.105
"Feb 29, 2016",144.004
"Mar 31, 2016",153.645
"Apr 29, 2016",155.698
"May 31, 2016",156.902
"Jun 30, 2016",154.479
"Jul 29, 2016",161.620
"Aug 31, 2016",162.060
"Sep 30, 2016",162.744
"Oct 31, 2016",159.321
"Nov 30, 2016",161.722
"Dec 30, 2016",165.484
"Jan 31, 2017",169.623
"Feb 28, 2017",174.350
"Mar 31, 2017",176.234
"Apr 28, 2017",178.965
"May 31, 2017",182.620
"Jun 30, 2017",183.635
"Jul 31, 2017",187.982
"Aug 31, 2017",188.111
"Sep 29, 2017",192.293
"Oct 31, 2017",195.929
"Nov 30, 2017",200.120
"Dec 29, 2017",202.693
"Jan 31, 2018",213.650
"Feb 28, 2018",205.169
"Mar 30, 2018",200.407
"Apr 30, 2018",202.485
"May 31, 2018",203.909
"Jun 29, 2018",203.783
"Jul 31, 2018",210.054
"Aug 31, 2018",213.551
"Sep 28, 2018",214.339
"Oct 31, 2018",198.171
"Nov 30, 2018",200.836
"Dec 31, 2018",185.266
"Jan 31, 2019",199.659
"Feb 28, 2019",205.274
"Mar 29, 2019",208.155
"Apr 30, 2019",216.072
"May 31, 2019",203.379
"Jun 28, 2019",216.847
"Jul 31, 2019",218.164
"Aug 30, 2019",213.584
"Sep 30, 2019",218.049
"Oct 31, 2019",224.017
"Nov 29, 2019",230.364
"Dec 31, 2019",237.421
"Jan 31, 2020",235.935
"Feb 28, 2020",216.418
"Mar 31, 2020",188.186
"Apr 30, 2020",209.364
"May 29, 2020",219.855
"Jun 30, 2020",226.011
"Jul 31, 2020",237.373
"Aug 31, 2020",253.710
"Sep 30, 2020",244.894
"Oct 30, 2020",237.492
"Nov 30, 2020",267.587
"Dec 31, 2020",279.123
"Jan 29, 2021",276.592
"Feb 26, 2021",283.622
"Mar 31, 2021",292.439
"Apr 30, 2021",306.358
"May 31, 2021",310.504
"Jun 30, 2021",315.733
