Date,Value
"Dec 31, 1969",100.000
"Jan 30, 1970",94.455
"Feb 27, 1970",97.405
"Mar 31, 1970",97.708
"Apr 30, 1970",88.578
"May 29, 1970",82.990
"Jun 30, 1970",80.946
"Jul 31, 1970",85.965
"Aug 31, 1970",88.799
"Sep 30, 1970",91.667
"Oct 30, 1970",90.314
"Nov 30, 1970",92.337
"Dec 31, 1970",96.915
"Jan 29, 1971",101.369
"Feb 26, 1971",102.438
"Mar 31, 1971",106.933
"Apr 30, 1971",110.429
"May 31, 1971",107.814
"Jun 30, 1971",108.909
"Jul 30, 1971",107.168
"Aug 31, 1971",109.507
"Sep 30, 1971",108.466
"Oct 29, 1971",104.351
"Nov 30, 1971",105.233
"Dec 31, 1971",114.712
"Jan 31, 1972",118.911
"Feb 29, 1972",123.473
"Mar 31, 1972",125.187
"Apr 28, 1972",126.848
"May 31, 1972",129.432
"Jun 30, 1972",126.428
"Jul 31, 1972",128.381
"Aug 31, 1972",132.028
"Sep 29, 1972",130.019
"Oct 31, 1972",131.094
"Nov 30, 1972",137.975
"Dec 29, 1972",140.503
"Jan 31, 1973",140.826
"Feb 28, 1973",141.799
"Mar 30, 1973",141.997
"Apr 30, 1973",134.842
"May 31, 1973",134.440
"Jun 29, 1973",135.285
"Jul 31, 1973",138.510
"Aug 31, 1973",132.743
"Sep 28, 1973",136.584
"Oct 31, 1973",137.962
"Nov 30, 1973",120.073
"Dec 31, 1973",119.086
"Jan 31, 1974",119.999
"Feb 28, 1974",121.866
"Mar 29, 1974",118.780
"Apr 30, 1974",116.801
"May 31, 1974",112.098
"Jun 28, 1974",108.574
"Jul 31, 1974",102.144
"Aug 30, 1974",92.287
"Sep 30, 1974",83.680
"Oct 31, 1974",91.689
"Nov 29, 1974",90.257
"Dec 31, 1974",88.758
"Jan 31, 1975",101.701
"Feb 28, 1975",110.683
"Mar 31, 1975",111.494
"Apr 30, 1975",116.112
"May 30, 1975",118.858
"Jun 30, 1975",120.356
"Jul 31, 1975",113.706
"Aug 29, 1975",111.945
"Sep 30, 1975",107.251
"Oct 31, 1975",114.639
"Nov 28, 1975",117.774
"Dec 31, 1975",117.875
"Jan 30, 1976",128.408
"Feb 27, 1976",127.458
"Mar 31, 1976",128.961
"Apr 30, 1976",128.021
"May 31, 1976",125.888
"Jun 30, 1976",129.762
"Jul 30, 1976",128.548
"Aug 31, 1976",128.256
"Sep 30, 1976",129.333
"Oct 29, 1976",124.808
"Nov 30, 1976",124.318
"Dec 31, 1976",133.667
"Jan 31, 1977",129.180
"Feb 28, 1977",128.613
"Mar 31, 1977",127.809
"Apr 29, 1977",129.206
"May 31, 1977",127.451
"Jun 30, 1977",132.249
"Jul 29, 1977",130.476
"Aug 31, 1977",130.958
"Sep 30, 1977",132.589
"Oct 31, 1977",130.324
"Nov 30, 1977",131.957
"Dec 30, 1977",134.575
"Jan 31, 1978",130.616
"Feb 28, 1978",129.612
"Mar 31, 1978",135.475
"Apr 28, 1978",141.556
"May 31, 1978",143.331
"Jun 30, 1978",144.750
"Jul 31, 1978",155.181
"Aug 31, 1978",158.737
"Sep 29, 1978",160.561
"Oct 31, 1978",157.432
"Nov 30, 1978",151.859
"Dec 29, 1978",156.805
"Jan 31, 1979",160.811
"Feb 28, 1979",157.720
"Mar 30, 1979",164.318
"Apr 30, 1979",164.067
"May 31, 1979",161.215
"Jun 29, 1979",165.861
"Jul 31, 1979",167.094
"Aug 31, 1979",173.787
"Sep 28, 1979",177.675
"Oct 31, 1979",164.440
"Nov 30, 1979",169.474
"Dec 31, 1979",173.980
"Jan 31, 1980",184.435
"Feb 29, 1980",184.503
"Mar 31, 1980",164.629
"Apr 30, 1980",175.383
"May 30, 1980",183.992
"Jun 30, 1980",192.781
"Jul 31, 1980",198.672
"Aug 29, 1980",202.521
"Sep 30, 1980",208.571
"Oct 31, 1980",214.614
"Nov 28, 1980",223.556
"Dec 31, 1980",218.644
"Jan 30, 1981",212.250
"Feb 27, 1981",212.838
"Mar 31, 1981",220.375
"Apr 30, 1981",220.452
"May 29, 1981",216.119
"Jun 30, 1981",215.717
"Jul 31, 1981",212.043
"Aug 31, 1981",207.838
"Sep 30, 1981",192.186
"Oct 30, 1981",198.044
"Nov 30, 1981",212.731
"Dec 31, 1981",208.181
"Jan 29, 1982",205.087
"Feb 26, 1982",192.634
"Mar 31, 1982",187.341
"Apr 30, 1982",196.502
"May 31, 1982",191.513
"Jun 30, 1982",182.826
"Jul 30, 1982",180.439
"Aug 31, 1982",193.491
"Sep 30, 1982",194.351
"Oct 29, 1982",207.664
"Nov 30, 1982",218.621
"Dec 31, 1982",228.392
"Jan 31, 1983",233.223
"Feb 28, 1983",238.074
"Mar 31, 1983",246.407
"Apr 29, 1983",263.953
"May 31, 1983",261.323
"Jun 30, 1983",269.484
"Jul 29, 1983",264.634
"Aug 31, 1983",266.012
"Sep 30, 1983",271.354
"Oct 31, 1983",268.119
"Nov 30, 1983",275.001
"Dec 30, 1983",278.474
"Jan 31, 1984",280.739
"Feb 29, 1984",276.062
"Mar 30, 1984",289.006
"Apr 30, 1984",287.909
"May 31, 1984",266.284
"Jun 29, 1984",268.540
"Jul 31, 1984",259.050
"Aug 31, 1984",284.998
"Sep 28, 1984",283.868
"Oct 31, 1984",286.847
"Nov 30, 1984",285.717
"Dec 31, 1984",291.613
"Jan 31, 1985",307.636
"Feb 28, 1985",308.161
"Mar 29, 1985",318.779
"Apr 30, 1985",317.824
"May 31, 1985",334.076
"Jun 28, 1985",339.953
"Jul 31, 1985",346.882
"Aug 30, 1985",349.639
"Sep 30, 1985",352.162
"Oct 31, 1985",371.024
"Nov 29, 1985",391.668
"Dec 31, 1985",409.905
"Jan 31, 1986",415.868
"Feb 28, 1986",453.234
"Mar 31, 1986",497.416
"Apr 30, 1986",510.970
"May 30, 1986",509.368
"Jun 30, 1986",529.674
"Jul 31, 1986",533.795
"Aug 29, 1986",580.299
"Sep 30, 1986",557.094
"Oct 31, 1986",547.380
"Nov 28, 1986",570.392
"Dec 31, 1986",581.613
"Jan 30, 1987",649.780
"Feb 27, 1987",671.046
"Mar 31, 1987",712.438
"Apr 30, 1987",754.049
"May 29, 1987",754.929
"Jun 30, 1987",754.320
"Jul 31, 1987",769.218
"Aug 31, 1987",814.510
"Sep 30, 1987",800.149
"Oct 30, 1987",664.106
"Nov 30, 1987",647.759
"Dec 31, 1987",675.624
"Jan 29, 1988",691.913
"Feb 29, 1988",731.870
"Mar 31, 1988",753.770
"Apr 29, 1988",763.076
"May 31, 1988",747.624
"Jun 30, 1988",746.387
"Jul 29, 1988",760.221
"Aug 31, 1988",718.253
"Sep 30, 1988",748.520
"Oct 31, 1988",798.132
"Nov 30, 1988",825.706
"Dec 30, 1988",832.956
"Jan 31, 1989",862.880
"Feb 28, 1989",857.236
"Mar 31, 1989",851.517
"Apr 28, 1989",870.942
"May 31, 1989",849.365
"Jun 30, 1989",839.555
"Jul 31, 1989",934.194
"Aug 31, 1989",911.357
"Sep 29, 1989",936.856
"Oct 31, 1989",905.377
"Nov 30, 1989",941.282
"Dec 29, 1989",971.297
"Jan 31, 1990",925.695
"Feb 28, 1990",885.751
"Mar 30, 1990",832.006
"Apr 30, 1990",819.754
"May 31, 1990",905.816
"Jun 29, 1990",899.096
"Jul 31, 1990",907.018
"Aug 31, 1990",821.844
"Sep 28, 1990",734.905
"Oct 31, 1990",803.227
"Nov 30, 1990",789.752
"Dec 31, 1990",806.004
"Jan 31, 1991",835.195
"Feb 28, 1991",912.224
"Mar 29, 1991",885.059
"Apr 30, 1991",891.704
"May 31, 1991",911.635
"Jun 28, 1991",855.081
"Jul 31, 1991",895.189
"Aug 30, 1991",892.068
"Sep 30, 1991",915.185
"Oct 31, 1991",929.747
"Nov 29, 1991",888.950
"Dec 31, 1991",953.376
"Jan 31, 1992",935.445
"Feb 28, 1992",919.024
"Mar 31, 1992",875.450
"Apr 30, 1992",887.368
"May 29, 1992",922.382
"Jun 30, 1992",891.197
"Jul 31, 1992",893.181
"Aug 31, 1992",914.607
"Sep 30, 1992",905.929
"Oct 30, 1992",881.100
"Nov 30, 1992",896.586
"Dec 31, 1992",903.550
"Jan 29, 1993",906.301
"Feb 26, 1993",927.499
"Mar 31, 1993",981.000
"Apr 30, 1993","1,026.195"
"May 31, 1993","1,049.573"
"Jun 30, 1993","1,040.498"
"Jul 30, 1993","1,061.664"
"Aug 31, 1993","1,110.067"
"Sep 30, 1993","1,089.292"
"Oct 29, 1993","1,119.047"
"Nov 30, 1993","1,055.482"
"Dec 31, 1993","1,106.871"
"Jan 31, 1994","1,179.617"
"Feb 28, 1994","1,164.091"
"Mar 31, 1994","1,113.644"
"Apr 29, 1994","1,147.809"
"May 31, 1994","1,150.502"
"Jun 30, 1994","1,147.044"
"Jul 29, 1994","1,168.588"
"Aug 31, 1994","1,203.514"
"Sep 30, 1994","1,171.626"
"Oct 31, 1994","1,204.684"
"Nov 30, 1994","1,152.169"
"Dec 30, 1994","1,163.056"
"Jan 31, 1995","1,145.319"
"Feb 28, 1995","1,161.738"
"Mar 31, 1995","1,217.451"
"Apr 28, 1995","1,259.598"
"May 31, 1995","1,270.088"
"Jun 30, 1995","1,269.412"
"Jul 31, 1995","1,332.640"
"Aug 31, 1995","1,302.664"
"Sep 29, 1995","1,340.324"
"Oct 31, 1995","1,318.933"
"Nov 30, 1995","1,364.441"
"Dec 29, 1995","1,404.045"
"Jan 31, 1996","1,429.154"
"Feb 29, 1996","1,437.564"
"Mar 29, 1996","1,461.188"
"Apr 30, 1996","1,495.247"
"May 31, 1996","1,496.240"
"Jun 28, 1996","1,503.506"
"Jul 31, 1996","1,450.069"
"Aug 30, 1996","1,466.435"
"Sep 30, 1996","1,523.547"
"Oct 31, 1996","1,533.881"
"Nov 29, 1996","1,619.535"
"Dec 31, 1996","1,593.294"
"Jan 31, 1997","1,612.197"
"Feb 28, 1997","1,630.438"
"Mar 31, 1997","1,597.883"
