Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,4.878800,4.975500,4.730750,4.868750,4.868750,243011
2018-12-01,4.942500,4.942500,4.358250,4.530000,4.530000,56906
2019-01-01,4.530000,4.861500,4.460250,4.861500,4.861500,0
2019-02-01,4.885000,5.041500,4.823500,5.019500,5.019500,18398
2019-03-01,5.035000,5.123500,4.917000,5.070500,5.070500,496094
2019-04-01,5.130500,5.291000,5.130500,5.256500,5.256500,130022
2019-05-01,5.290000,5.290000,4.984500,4.984500,4.984500,7347538
2019-06-01,4.979500,5.318000,4.979500,5.285000,5.285000,253713
2019-07-01,5.328500,5.399000,5.324000,5.374000,5.374000,730675
2019-08-01,5.323000,5.337000,5.060000,5.200000,5.200000,415800
2019-09-01,5.203000,5.420000,5.175500,5.329500,5.329500,640467
2019-10-01,5.352000,5.492000,5.161000,5.455500,5.455500,429376
2019-11-01,5.506000,5.660000,5.493000,5.660000,5.660000,714050
2019-12-01,5.645000,5.825000,5.517000,5.772000,5.772000,491492
2020-01-01,5.772000,5.968000,5.750000,5.750000,5.750000,1878866
2020-02-01,5.813000,6.014000,5.157000,5.230000,5.230000,1975151
2020-03-01,5.335000,5.510000,3.937500,4.666500,4.666500,3075815
2020-04-01,4.484000,5.189000,4.420000,5.106000,5.106000,739214
2020-05-01,4.996000,5.388570,4.908500,5.322000,5.322000,1192622
2020-06-01,5.364000,5.708000,5.262000,5.484000,5.484000,1012680
2020-07-01,5.515000,5.859000,5.515000,5.764000,5.764000,4309646
2020-08-01,5.772000,6.191000,5.772000,6.184000,6.184000,4947629
2020-09-01,6.228000,6.298000,5.750000,6.008500,6.008500,2374380
2020-10-01,6.038000,6.261000,5.771000,5.794000,5.794000,2709792
2020-11-01,5.810000,6.583000,5.810000,6.506000,6.506000,3023109
2020-12-01,6.601000,6.844000,6.565000,6.797000,6.797000,1696614
2021-01-01,6.797000,7.038500,6.739000,6.780000,6.780000,4327851
2021-02-01,6.813000,7.227000,6.774000,6.946000,6.946000,2431124
2021-03-01,6.972000,7.197000,6.793000,7.185000,7.185000,11612055
2021-04-01,7.173000,7.574000,7.160000,7.480500,7.480500,2816014
2021-05-01,7.480500,7.611000,7.233000,7.611000,7.611000,2391836
2021-06-01,7.613000,7.740000,7.523000,7.708000,7.708000,3853213
2021-07-01,7.750000,7.809000,7.704000,7.790000,7.790000,490532
