Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,4.878700,4.873000,4.723750,4.868500,4.868500,103690
2018-12-01,4.943000,4.943000,4.353250,4.523750,4.523750,39716
2019-01-01,4.523750,4.851750,4.452000,4.851750,4.851750,31856
2019-02-01,4.862500,5.031500,4.813500,5.007500,5.007500,49760
2019-03-01,5.013500,5.113500,4.908000,5.060500,5.060500,1981
2019-04-01,5.110000,5.261500,5.110000,5.246500,5.246500,29849
2019-05-01,5.275000,5.275000,4.973000,4.973000,4.973000,60142
2019-06-01,4.973850,5.234500,4.973850,5.214500,5.214500,134993
2019-07-01,5.258500,5.325000,5.240000,5.298500,5.298500,17071
2019-08-01,5.296000,5.296000,5.016000,5.132000,5.132000,28448
2019-09-01,5.124500,5.327500,5.108500,5.260500,5.260500,2594
2019-10-01,5.231500,5.402500,5.109500,5.384500,5.384500,51674
2019-11-01,5.430000,5.570000,5.430000,5.559000,5.559000,28202
2019-12-01,5.506500,5.697500,5.457500,5.657000,5.657000,2100
2020-01-01,5.657000,5.828000,5.645500,5.645500,5.645500,5867
2020-02-01,5.668000,5.887000,5.103000,5.103000,5.103000,18658
2020-03-01,5.207000,5.386000,3.901750,4.571000,4.571000,379303
2020-04-01,4.354000,5.045500,4.314500,5.004750,5.004750,30922
2020-05-01,4.882500,5.258000,4.801000,5.209000,5.209000,19664
2020-06-01,5.265000,5.565000,5.151000,5.333500,5.333500,152618
2020-07-01,5.335000,5.706000,5.335000,5.599000,5.599000,43480
2020-08-01,5.634000,6.019000,5.615000,6.000500,6.000500,118605
2020-09-01,6.048000,6.125000,5.606000,5.833000,5.833000,145812
2020-10-01,5.866000,6.060000,5.607000,5.638000,5.638000,67011
2020-11-01,5.664000,6.394000,5.635000,6.323500,6.323500,2703087
2020-12-01,6.413000,6.593000,6.338000,6.567000,6.567000,88335
2021-01-01,6.567000,6.798000,6.521000,6.548000,6.548000,414941
2021-02-01,6.547000,6.971000,6.547000,6.693500,6.693500,716609
2021-03-01,6.733000,6.932000,5.717500,6.903500,6.903500,238382
2021-04-01,6.926000,7.312000,6.926000,7.225500,7.225500,395671
2021-05-01,7.225500,7.347000,6.989000,7.347000,7.347000,81028
2021-06-01,7.380000,7.466000,7.203000,7.390500,7.390500,273706
2021-07-01,7.400000,7.482000,6.298500,7.467000,7.467000,46899
