As Of,Currency,NAV,Securities In Issue,Net Assets,Fund Return Series,Benchmark Return Series
13/Jul/2021,USD,7.49,30 109 984.00,225 582 212.04,158.52,158.57
12/Jul/2021,USD,7.51,30 109 984.00,226 189 067.06,158.95,159.00
09/Jul/2021,USD,7.47,30 109 984.00,225 023 495.03,158.13,158.17
08/Jul/2021,USD,7.40,30 109 984.00,222 763 722.22,156.54,156.59
07/Jul/2021,USD,7.47,30 109 984.00,224 810 768.53,157.98,158.03
06/Jul/2021,USD,7.45,29 031 751.00,216 259 836.69,157.61,157.66
05/Jul/2021,USD,7.46,29 031 751.00,216 691 650.15,157.93,157.97
02/Jul/2021,USD,7.46,29 031 751.00,216 457 069.26,157.76,157.80
01/Jul/2021,USD,7.41,29 056 751.00,215 304 245.77,156.78,156.82
30/Jun/2021,USD,7.38,29 056 751.00,214 537 165.84,156.22,156.27
29/Jun/2021,USD,7.40,29 056 751.00,215 125 373.31,156.65,156.70
28/Jun/2021,USD,7.40,29 056 751.00,215 045 112.80,156.59,156.64
25/Jun/2021,USD,7.40,29 056 751.00,214 929 525.64,156.51,156.55
24/Jun/2021,USD,7.37,28 978 518.00,213 548 027.80,155.92,155.96
23/Jun/2021,USD,7.33,29 312 316.00,214 875 521.62,155.10,155.15
22/Jun/2021,USD,7.34,28 312 316.00,207 747 253.86,155.26,155.30
21/Jun/2021,USD,7.29,28 312 316.00,206 372 541.65,154.23,154.26
18/Jun/2021,USD,7.22,28 312 316.00,204 469 435.45,152.81,152.85
17/Jun/2021,USD,7.32,28 312 316.00,207 322 158.48,154.94,154.97
16/Jun/2021,USD,7.40,28 110 709.00,208 062 969.56,155.49,155.51
15/Jun/2021,USD,7.42,28 110 709.00,208 597 620.52,155.88,155.91
14/Jun/2021,USD,7.43,28 110 709.00,208 794 533.27,156.03,156.05
11/Jun/2021,USD,7.41,28 110 709.00,208 237 802.59,155.62,155.64
10/Jun/2021,USD,7.40,28 110 709.00,207 893 414.69,155.36,155.38
09/Jun/2021,USD,7.37,28 110 709.00,207 110 340.51,154.77,154.79
08/Jun/2021,USD,7.38,28 110 709.00,207 466 770.16,155.04,155.05
07/Jun/2021,USD,7.38,28 110 709.00,207 359 626.69,154.96,154.97
04/Jun/2021,USD,7.37,28 110 709.00,207 111 539.94,154.77,154.78
03/Jun/2021,USD,7.31,28 110 709.00,205 374 300.94,153.48,153.47
02/Jun/2021,USD,7.34,27 910 709.00,204 793 397.36,154.14,154.14
01/Jun/2021,USD,7.33,27 910 709.00,204 535 064.43,153.94,153.95
31/May/2021,USD,7.32,27 910 709.00,204 173 041.11,153.67,153.68
28/May/2021,USD,7.32,27 910 709.00,204 421 487.11,153.86,153.86
27/May/2021,USD,7.30,27 910 709.00,203 789 653.20,153.38,153.39
26/May/2021,USD,7.30,27 910 709.00,203 767 822.08,153.37,153.37
25/May/2021,USD,7.29,27 910 709.00,203 483 356.06,153.15,153.15
24/May/2021,USD,7.29,27 910 709.00,203 476 246.57,153.15,153.14
21/May/2021,USD,7.23,27 910 709.00,201 779 493.50,151.87,151.87
20/May/2021,USD,7.23,27 910 709.00,201 752 573.25,151.85,151.85
19/May/2021,USD,7.15,27 910 709.00,199 509 228.26,150.16,150.16
18/May/2021,USD,7.19,27 785 709.00,199 709 174.88,150.99,150.99
17/May/2021,USD,7.20,26 785 709.00,192 886 767.18,151.27,151.28
14/May/2021,USD,7.21,26 785 709.00,193 189 126.46,151.51,151.52
13/May/2021,USD,7.10,26 785 709.00,190 108 465.70,149.10,149.11
12/May/2021,USD,7.06,26 785 709.00,189 010 952.46,148.23,148.26
11/May/2021,USD,7.18,26 785 709.00,192 422 612.27,150.91,150.94
10/May/2021,USD,7.26,26 785 709.00,194 591 775.63,152.61,152.64
07/May/2021,USD,7.31,26 785 709.00,195 873 982.65,153.62,153.64
06/May/2021,USD,7.24,26 785 709.00,194 050 067.25,152.19,152.22
05/May/2021,USD,7.20,26 705 709.00,192 198 670.44,151.19,151.22
04/May/2021,USD,7.17,26 705 709.00,191 536 960.82,150.67,150.71
30/Apr/2021,USD,7.22,26 705 709.00,192 690 727.68,151.57,151.63
29/Apr/2021,USD,7.28,26 405 709.00,192 180 630.25,152.89,152.94
28/Apr/2021,USD,7.25,26 405 709.00,191 413 166.72,152.28,152.34
27/Apr/2021,USD,7.25,26 405 709.00,191 400 851.22,152.27,152.33
26/Apr/2021,USD,7.26,26 405 709.00,191 648 783.62,152.47,152.53
23/Apr/2021,USD,7.23,26 405 709.00,190 991 646.80,151.94,152.00
22/Apr/2021,USD,7.18,26 405 709.00,189 489 811.42,150.75,150.80
21/Apr/2021,USD,7.20,25 819 295.00,185 816 098.67,151.18,151.24
20/Apr/2021,USD,7.15,25 819 295.00,184 701 058.85,150.28,150.33
19/Apr/2021,USD,7.22,25 819 295.00,186 437 708.08,151.69,151.75
16/Apr/2021,USD,7.24,25 819 295.00,186 991 725.67,152.14,152.20
15/Apr/2021,USD,7.21,25 819 295.00,186 263 930.36,151.55,151.61
14/Apr/2021,USD,7.14,25 699 295.00,183 599 874.66,150.08,150.14
13/Apr/2021,USD,7.16,25 388 607.00,181 771 214.48,150.40,150.46
12/Apr/2021,USD,7.13,25 388 607.00,181 040 078.51,149.80,149.86
09/Apr/2021,USD,7.14,25 388 607.00,181 220 489.13,149.95,150.01
08/Apr/2021,USD,7.10,25 388 607.00,180 255 560.21,149.15,149.21
07/Apr/2021,USD,7.06,25 388 607.00,179 306 918.84,148.36,148.42
06/Apr/2021,USD,7.05,25 388 607.00,178 968 809.05,148.08,148.14
01/Apr/2021,USD,6.96,25 388 607.00,176 713 014.72,146.22,146.27
31/Mar/2021,USD,6.89,25 388 607.00,174 857 802.19,144.68,144.74
30/Mar/2021,USD,6.87,25 388 607.00,174 400 337.45,144.30,144.36
29/Mar/2021,USD,6.88,25 338 607.00,174 315 870.76,144.52,144.58
26/Mar/2021,USD,6.89,25 418 607.00,175 134 316.24,144.74,144.80
25/Mar/2021,USD,6.79,25 828 607.00,175 408 383.65,142.66,142.72
24/Mar/2021,USD,6.77,25 828 607.00,174 910 120.05,142.26,142.32
23/Mar/2021,USD,6.82,25 828 607.00,176 278 599.55,143.37,143.44
22/Mar/2021,USD,6.88,25 788 607.00,177 331 594.87,144.45,144.52
19/Mar/2021,USD,6.84,25 788 607.00,176 442 882.57,143.73,143.79
18/Mar/2021,USD,6.86,25 788 607.00,176 789 775.14,144.01,144.07
17/Mar/2021,USD,6.92,25 788 607.00,178 379 987.65,145.31,145.38
16/Mar/2021,USD,6.91,24 688 607.00,170 592 726.09,145.15,145.22
15/Mar/2021,USD,6.90,24 688 607.00,170 428 355.19,145.01,145.08
12/Mar/2021,USD,6.87,24 688 607.00,169 525 512.41,144.25,144.31
11/Mar/2021,USD,6.87,24 566 607.00,168 699 583.63,144.26,144.32
10/Mar/2021,USD,6.79,24 506 607.00,166 370 308.95,142.61,142.67
09/Mar/2021,USD,6.76,24 506 607.00,165 603 037.28,141.96,142.02
08/Mar/2021,USD,6.66,24 506 607.00,163 136 732.44,139.84,139.90
05/Mar/2021,USD,6.68,24 406 607.00,162 943 319.50,140.25,140.32
04/Mar/2021,USD,6.62,24 406 607.00,161 602 506.02,139.09,139.16
03/Mar/2021,USD,6.71,24 406 607.00,163 714 959.25,140.91,140.99
02/Mar/2021,USD,6.78,23 406 607.00,158 643 695.37,142.38,142.46
01/Mar/2021,USD,6.82,23 406 607.00,159 581 817.09,143.22,143.31
26/Feb/2021,USD,6.68,21 406 607.00,142 961 256.28,140.29,140.37
25/Feb/2021,USD,6.75,21 306 607.00,143 893 437.90,141.87,141.95
24/Feb/2021,USD,6.86,21 306 607.00,146 076 915.73,144.02,144.11
23/Feb/2021,USD,6.82,21 306 607.00,145 415 704.10,143.37,143.47
22/Feb/2021,USD,6.82,21 306 607.00,145 401 283.14,143.36,143.46
19/Feb/2021,USD,6.87,21 306 607.00,146 440 956.54,144.38,144.49
18/Feb/2021,USD,6.87,21 513 733.00,147 704 351.43,144.23,144.33
17/Feb/2021,USD,6.90,21 263 733.00,146 625 370.91,144.86,144.96
16/Feb/2021,USD,6.93,21 263 733.00,147 277 963.90,145.50,145.60
15/Feb/2021,USD,6.93,21 263 733.00,147 345 854.55,145.57,145.68
12/Feb/2021,USD,6.91,21 263 733.00,146 827 718.93,145.06,145.16
11/Feb/2021,USD,6.87,21 263 733.00,146 184 945.72,144.42,144.53
10/Feb/2021,USD,6.86,21 263 733.00,145 771 566.89,144.01,144.13
09/Feb/2021,USD,6.85,21 263 733.00,145 658 745.98,143.90,144.01
08/Feb/2021,USD,6.84,21 263 733.00,145 510 874.94,143.75,143.87
05/Feb/2021,USD,6.79,20 617 189.00,139 948 715.23,142.60,142.71
04/Feb/2021,USD,6.75,20 517 189.00,138 482 149.87,141.79,141.90
03/Feb/2021,USD,6.70,20 517 189.00,137 481 340.84,140.76,140.88
02/Feb/2021,USD,6.69,20 517 189.00,137 207 145.65,140.48,140.61
01/Feb/2021,USD,6.60,20 517 189.00,135 498 591.92,138.73,138.85
29/Jan/2021,USD,6.51,20 517 189.00,133 598 592.29,136.79,136.89
28/Jan/2021,USD,6.63,20 517 189.00,136 054 579.26,140.58,139.41
